Designator,Name,Value,Description,Quantity

"C27, C28, C30, C31","","100nF","0603 100nF 50V X7R 10%","4"
"P7","687110149022","","WR-FPC 0.50 mm 10-pin SMT ZIF Horizontal","1"
"P8","EXG.0B.306.HLN","","CONN RCPT FMALE 6POS GOLD SOLDER","1"
"P10","EXG.0B.304.HLN","","CONN RCPT FMALE 4POS GOLD SOLDER","1"
