Designator,Name,Value,Description,Quantity

"P4","687108149022","","WR-FPC 0.50 mm 8-pin SMT ZIF Horizontal","1"
"U3, U5","PEC11L-4115F-S0020","","ROTARY ENCODER MECHANICAL 20PPR","2"
